date,max temp,mean temp,min temp,snow on grnd (cm),total precip (mm),total rain (mm),total snow (cm),total count,year,day
2018-05-27,0.45871562,0.5050505,0.5714286,0.0,0.014184398,0.014184398,0.0,2.0,1.0,0.4
2013-05-28,0.43577984,0.25757575,0.039999988,0.0,0.028368795,0.028368795,0.0,1.0,0.375,0.40273973
2014-09-30,0.15137611,0.19696969,0.25714287,0.0,0.0,0.0,0.0,2.0,0.5,0.7452055
2015-08-11,0.50917435,0.64141417,0.8171428,0.0,0.04255319,0.04255319,0.0,2.0,0.625,0.6082192
2014-02-20,-0.53211015,-0.6464647,-0.7885714,0.6515152,0.11583925,0.11583925,0.0,0.0,0.5,0.1369863
2017-02-21,-0.527523,-0.6868687,-0.8857143,0.0,0.016548464,0.016548464,0.0,1.0,0.875,0.13972603
2017-01-09,-0.8715597,-1.2171718,-1.6571429,0.3939394,0.0,0.0,0.0,1.0,0.875,0.021917809
2016-11-18,-0.13761468,-0.15151516,-0.17142858,0.0,0.0,0.0,0.0,1.0,0.75,0.8821918
2017-03-25,-0.41284406,-0.469697,-0.54285717,0.33333334,0.0,0.0,0.0,1.0,0.875,0.22739726
2013-06-29,0.3440367,0.46464646,0.62857145,0.0,0.0,0.0,0.0,2.0,0.375,0.49041098
2015-01-27,-1.0321101,-1.1414142,-1.2914286,0.15151516,0.0,0.0,0.0,0.0,0.625,0.07123288
2016-12-09,-0.8027523,-0.71212125,-0.6,0.030303031,0.0,0.0,0.0,0.0,0.75,0.93972605
2016-01-30,-0.7660551,-0.82828283,-0.9085714,0.16666667,0.0,0.0,0.0,0.0,0.75,0.07945205
2013-02-16,-0.98623854,-1.0656567,-1.1714286,0.45454547,0.0,0.0,0.0,0.0,0.375,0.1260274
2016-08-05,0.8715597,0.8686869,0.8857143,0.0,0.0,0.0,0.0,2.0,0.75,0.59452057
2017-03-02,-0.98623854,-0.9747475,-0.9714286,0.2878788,0.0,0.0,0.0,1.0,0.875,0.16438356
2013-02-17,-1.0733945,-1.1868688,-1.3428571,0.45454547,0.0,0.0,0.0,0.0,0.375,0.12876713
2016-11-23,-0.64220184,-0.5959596,-0.54285717,0.09090909,0.028368795,0.0,0.06486487,0.0,0.75,0.8958904
2018-09-03,0.8027523,0.8181819,0.85714287,0.0,0.0,0.0,0.0,1.0,1.0,0.6712329
2011-11-14,0.22935781,0.3131313,0.42857143,0.0,0.02600473,0.02600473,0.0,1.0,0.125,0.8684932
2011-03-11,-0.4082569,-0.3030303,-0.17142858,0.3181818,0.0047281324,0.0023640662,0.0054054055,0.0,0.125,0.1890411
2017-03-17,-0.64220184,-0.72222227,-0.82857144,0.36363637,0.0,0.0,0.0,1.0,0.875,0.20547946
2014-08-22,0.40366971,0.5404041,0.7257143,0.0,0.0,0.0,0.0,2.0,0.5,0.6383562
2014-08-31,0.62385327,0.75757575,0.94285715,0.0,0.013002365,0.013002365,0.0,2.0,0.5,0.6630137
2018-12-04,-0.8256881,-0.72222227,-0.6,0.060606062,0.0,0.0,0.0,0.0,1.0,0.9232877
2013-08-18,0.66513765,0.58080804,0.4857143,0.0,0.0,0.0,0.0,2.0,0.375,0.6273973
2018-04-06,-0.45871562,-0.5959596,-0.7714286,0.0,0.0,0.0,0.0,0.0,1.0,0.260274
2018-03-13,-0.5963303,-0.459596,-0.2857143,0.13636364,0.11111111,0.0,0.2972973,0.0,1.0,0.19452055
2015-07-17,0.41743124,0.38383836,0.34857145,0.0,0.15957448,0.15957448,0.0,2.0,0.625,0.539726
2012-06-20,0.9449541,0.93434346,0.93714285,0.0,0.0,0.0,0.0,2.0,0.25,0.46849316
2016-01-23,-0.9082569,-1.0,-1.1257143,0.15151516,0.0,0.0,0.0,0.0,0.75,0.060273975
2012-04-19,0.38990828,0.15151516,-0.13714287,0.0,0.016548464,0.016548464,0.0,1.0,0.25,0.29863015
2011-09-11,0.527523,0.35858583,0.1542857,0.0,0.0,0.0,0.0,1.0,0.125,0.6931507
2016-07-29,0.527523,0.5909091,0.6857143,0.0,0.0,0.0,0.0,2.0,0.75,0.5753425
2014-02-24,-0.9587156,-0.9040405,-0.8457143,0.56060606,0.0,0.0,0.0,0.0,0.5,0.14794521
2013-10-02,0.50917435,0.5151515,0.5314286,0.0,0.0,0.0,0.0,2.0,0.375,0.750685
2016-11-27,-0.57339454,-0.41919196,-0.22857143,0.015151516,0.0,0.0,0.0,0.0,0.75,0.9068493
2017-01-23,-0.64220184,-0.5353536,-0.4,0.3030303,0.0,0.0,0.0,1.0,0.875,0.060273975
2015-05-10,0.30275232,0.41414142,0.56,0.0,0.09810875,0.09810875,0.0,2.0,0.625,0.35342467
2011-05-26,0.087155946,0.24747474,0.45714286,0.0,0.107565016,0.107565016,0.0,1.0,0.125,0.39726028
2014-07-19,0.57339454,0.5404041,0.5085714,0.0,0.0,0.0,0.0,2.0,0.5,0.5452055
2016-06-22,0.38990828,0.489899,0.62857145,0.0,0.0,0.0,0.0,2.0,0.75,0.47397262
2017-10-13,0.09174312,0.060606055,0.028571429,0.0,0.007092199,0.007092199,0.0,2.0,0.875,0.7808219
2013-10-30,-0.30733946,-0.3585859,-0.42857143,0.0,0.0,0.0,0.0,1.0,0.375,0.8273973
2011-04-17,-0.2522936,-0.21717173,-0.17142858,0.0,0.0035460994,0.0035460994,0.0,0.0,0.125,0.29041097
2013-06-03,0.2844037,0.32828283,0.38857144,0.0,0.0,0.0,0.0,1.0,0.375,0.4191781
2012-07-21,0.7431193,0.56060606,0.34857145,0.0,0.0,0.0,0.0,2.0,0.25,0.55342466
2013-06-01,0.66513765,0.7676768,0.9142857,0.0,0.24822696,0.24822696,0.0,2.0,0.375,0.41369864
2017-07-15,0.64220184,0.6919192,0.7714286,0.0,0.0,0.0,0.0,2.0,0.875,0.53424656
2013-11-09,-0.4816514,-0.459596,-0.42857143,0.0,0.12765957,0.12765957,0.0,1.0,0.375,0.85479456
2018-09-05,0.8486239,0.8181819,0.8,0.0,0.04255319,0.04255319,0.0,2.0,1.0,0.67671233
2016-07-17,0.57339454,0.6565656,0.7714286,0.0,0.047281325,0.047281325,0.0,2.0,0.75,0.54246575
2010-06-27,0.45871562,0.5252526,0.61714286,0.0,0.12411348,0.12411348,0.0,1.0,0.0,0.48493153
2017-03-17,-0.64220184,-0.72222227,-0.82857144,0.36363637,0.0,0.0,0.0,1.0,0.875,0.20547946
2010-01-31,-0.82110095,-0.959596,-1.1428572,0.13636364,0.0,0.0,0.0,0.0,0.0,0.08219178
2012-08-29,0.5045872,0.37878785,0.23428574,0.0,0.0,0.0,0.0,1.0,0.25,0.66027397
